2026-04-27T12:51:24.877725	user-409@adverb.in	create	policy/AUP
2026-04-26T13:32:24.877730	user-611@adverb.in	delete	vendor/aws
2026-04-26T23:24:24.877733	user-460@adverb.in	create	vendor/aws
2026-04-26T19:33:24.877736	user-883@adverb.in	create	policy/AUP
2026-04-27T07:24:24.877738	user-569@adverb.in	delete	evidence/123
2026-04-27T07:22:24.877741	user-666@adverb.in	list	control/CC6.1
2026-04-26T18:53:24.877744	user-546@adverb.in	delete	evidence/123
2026-04-26T14:54:24.877747	user-805@adverb.in	delete	evidence/123
2026-04-26T13:27:24.877749	user-735@adverb.in	read	policy/AUP
2026-04-27T09:52:24.877752	user-191@adverb.in	read	vendor/aws
2026-04-27T09:52:24.877755	user-608@adverb.in	list	policy/AUP
2026-04-26T15:47:24.877758	user-554@adverb.in	list	policy/AUP
2026-04-26T14:37:24.877760	user-396@adverb.in	delete	control/CC6.1
2026-04-27T05:48:24.877763	user-895@adverb.in	delete	vendor/aws
2026-04-27T09:30:24.877766	user-300@adverb.in	delete	policy/AUP
