2026-04-27T07:48:36.467451	user-488@adverb.in	read	vendor/aws
2026-04-27T04:22:36.467457	user-902@adverb.in	delete	evidence/123
2026-04-26T22:59:36.467460	user-813@adverb.in	list	vendor/aws
2026-04-27T08:08:36.467464	user-294@adverb.in	create	control/CC6.1
2026-04-27T11:26:36.467468	user-693@adverb.in	list	policy/AUP
2026-04-27T02:43:36.467471	user-158@adverb.in	read	vendor/aws
2026-04-26T20:16:36.467474	user-973@adverb.in	list	control/CC6.1
2026-04-27T11:29:36.467477	user-620@adverb.in	read	control/CC6.1
2026-04-27T11:05:36.467479	user-709@adverb.in	read	control/CC6.1
2026-04-26T23:39:36.467482	user-222@adverb.in	list	control/CC6.1
2026-04-26T17:40:36.467484	user-708@adverb.in	read	policy/AUP
2026-04-26T23:07:36.467487	user-773@adverb.in	list	evidence/123
2026-04-27T04:31:36.467489	user-309@adverb.in	create	control/CC6.1
2026-04-27T04:22:36.467491	user-505@adverb.in	update	evidence/123
2026-04-26T21:49:36.467495	user-423@adverb.in	read	policy/AUP
