2026-04-27T09:56:25.216120	user-859@adverb.in	update	policy/AUP
2026-04-27T01:00:25.216124	user-303@adverb.in	create	control/CC6.1
2026-04-26T17:06:25.216127	user-964@adverb.in	delete	policy/AUP
2026-04-27T05:28:25.216130	user-958@adverb.in	delete	vendor/aws
2026-04-27T03:54:25.216133	user-883@adverb.in	list	evidence/123
2026-04-26T15:26:25.216136	user-509@adverb.in	create	vendor/aws
2026-04-26T14:39:25.216138	user-717@adverb.in	delete	vendor/aws
2026-04-26T19:57:25.216141	user-385@adverb.in	update	vendor/aws
2026-04-27T09:43:25.216144	user-225@adverb.in	create	vendor/aws
2026-04-26T20:26:25.216146	user-336@adverb.in	update	policy/AUP
2026-04-27T10:01:25.216149	user-855@adverb.in	read	policy/AUP
2026-04-26T20:24:25.216152	user-794@adverb.in	read	control/CC6.1
2026-04-27T00:21:25.216154	user-719@adverb.in	create	control/CC6.1
2026-04-27T03:04:25.216157	user-736@adverb.in	list	policy/AUP
2026-04-27T10:48:25.216160	user-776@adverb.in	list	vendor/aws
