2026-04-26T18:02:36.313361	user-263@adverb.in	read	policy/AUP
2026-04-27T00:52:36.313364	user-320@adverb.in	update	vendor/aws
2026-04-27T00:42:36.313368	user-177@adverb.in	create	vendor/aws
2026-04-26T15:07:36.313370	user-122@adverb.in	create	policy/AUP
2026-04-27T09:20:36.313373	user-409@adverb.in	update	evidence/123
2026-04-26T21:50:36.313376	user-919@adverb.in	update	policy/AUP
2026-04-26T15:42:36.313378	user-862@adverb.in	read	vendor/aws
2026-04-27T07:28:36.313381	user-114@adverb.in	read	policy/AUP
2026-04-27T05:25:36.313384	user-566@adverb.in	list	evidence/123
2026-04-27T04:12:36.313387	user-123@adverb.in	list	vendor/aws
2026-04-27T11:16:36.313390	user-848@adverb.in	update	control/CC6.1
2026-04-27T11:12:36.313393	user-507@adverb.in	delete	policy/AUP
2026-04-27T12:09:36.313395	user-609@adverb.in	delete	vendor/aws
2026-04-26T23:21:36.313398	user-279@adverb.in	read	policy/AUP
2026-04-26T15:01:36.313401	user-164@adverb.in	create	evidence/123
