2026-04-26T13:45:24.564409	user-169@adverb.in	create	evidence/123
2026-04-27T09:43:24.564413	user-837@adverb.in	read	policy/AUP
2026-04-27T00:14:24.564417	user-548@adverb.in	delete	control/CC6.1
2026-04-26T23:17:24.564419	user-604@adverb.in	delete	evidence/123
2026-04-26T18:46:24.564422	user-484@adverb.in	read	vendor/aws
2026-04-26T17:41:24.564425	user-766@adverb.in	update	control/CC6.1
2026-04-26T22:00:24.564427	user-175@adverb.in	read	evidence/123
2026-04-27T12:43:24.564430	user-426@adverb.in	create	policy/AUP
2026-04-27T10:53:24.564433	user-450@adverb.in	update	vendor/aws
2026-04-27T07:55:24.564435	user-849@adverb.in	read	policy/AUP
2026-04-27T01:52:24.564438	user-708@adverb.in	list	vendor/aws
2026-04-27T12:21:24.564441	user-541@adverb.in	update	vendor/aws
2026-04-27T08:03:24.564443	user-154@adverb.in	read	evidence/123
2026-04-27T06:24:24.564446	user-294@adverb.in	delete	evidence/123
2026-04-26T14:52:24.564449	user-388@adverb.in	create	control/CC6.1
